Area,Year,Deaths
"Cleveland, OH",2014,239
"Columbus, OH",2014,216
"Dayton, OH",2014,119
"Detroit, MI",2014,
"Evansville, IN",2014,53
"Fort Wayne, IN",2014,71
"Gary, IN",2014,18
"Grand Rapids, MI",2014,65
"Indianapolis, IN",2014,187
"Lansing, MI",2014,59
"Milwaukee, WI",2014,86
"Peoria, IL",2014,75
"Rockford, IL",2014,53
"South Bend, IN",2014,69
"Toledo, OH",2014,103
"Youngstown, OH",2014,78
W.N. Central,2014,684
"Des Moines, IA",2014,69
"Duluth, MN",2014,31
"Kansas City, KS",2014,24
"Kansas City, MO",2014,107
"Lincoln, NC",2014,46
"Minneapolis, MN",2014,80
"Omaha, NE",2014,92
"St. Louis, MO",2014,73
"St. Paul, MN",2014,61
"Wichita, KS",2014,101
S. Atlantic,2014,1180
"Atlanta, GA",2014,171
"Baltimore, MD",2014,152
"Charlotte, NC",2014,202
"Jacksonville, FL",2014,185
"Miami, FL",2014,73
"Norfolk, VA",2014,57
"Richmond, VA",2014,71
"Savannah, GA",2014,58
"St. Petersburg, FL",2014,63
"Tampa, FL",2014,119
"Washington, D.C.",2014,11
"Wilmington, DE",2014,18
E.S. Central,2014,961
"Birmingham, AL",2014,173
"Chattanooga, TN",2014,113
"Knoxville, TN",2014,136
"Lexington, KY",2014,69
"Memphis, TN",2014,154
"Mobile, AL",2014,72
"Montgomery, AL",2014,74
"Nashville, TN",2014,170
W.S. Central,2014,1585
"Austin, TX",2014,99
"Baton Rouge, LA",2014,134
"Corpus Christi, TX",2014,61
"Dallas, TX",2014,253
"El Paso, TX",2014,104
"Fort Worth, TX",2014,
"Houston, TX",2014,384
"Little Rock, AR",2014,45
"New Orleans, LA",2014,92
"San Antonio, TX",2014,285
"Shreveport, LA",2014,73
"Tulsa, OK",2014,55
Mountain,2014,1240
"Albuquerque, NM",2014,129
"Boise, ID",2014,69
"Colorado Springs, CO",2014,93
"Denver, CO",2014,87
"Las Vegas, NV",2014,307
"Ogden, UT",2014,34
"Phoenix, AZ",2014,149
"Pueblo, CO",2014,50
"Salt Lake City, UT",2014,145
"Tucson, AZ",2014,177
Pacific,2014,1684
"Berkeley, CA",2014,21
"Fresno, CA",2014,103
"Glendale, CA",2014,36
"Honolulu, HI",2014,69
"Long Beach, CA",2014,69
"Los Angeles, CA",2014,223
"Pasadena, CA",2014,26
"Portland, OR",2014,148
"Sacramento, CA",2014,187
"San Diego, CA",2014,164
"San Francisco, CA",2014,103
"San Jose, CA",2014,219
"Santa Cruz, CA",2014,30
"Seattle, WA",2014,103
"Spokane, WA",2014,66
"Tacoma, WA",2014,117
Totalå¦,2014,11411
New England,2014,641
"Boston, MA",2014,137
"Bridgeport, CT",2014,36
"Cambridge, MA",2014,24
"Fall River, MA",2014,24
"Hartford, CT",2014,66
"Lowell, MA",2014,20
"Lynn, MA",2014,12
"New Bedford, MA",2014,31
"New Haven, CT",2014,40
"Providence, RI",2014,84
"Somerville, MA",2014,5
"Springfield, MA",2014,47
"Waterbury, CT",2014,41
"Worcester, MA",2014,74
Mid. Atlantic,2014,2003
"Albany, NY",2014,58
"Allentown, PA",2014,44
"Buffalo, NY",2014,98
"Camden, NJ",2014,
"Elizabeth, NJ",2014,14
"Erie, PA",2014,87
"Jersey City, NJ",2014,14
"New York City, NY",2014,1176
"Newark, NJ",2014,43
"Paterson, NJ",2014,18
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,53
"Reading, PA",2014,35
"Rochester, NY",2014,172
"Schenectady, NY",2014,27
"Scranton, PA",2014,36
"Syracuse, NY",2014,101
"Trenton, NJ",2014,
"Utica, NY",2014,12
"Yonkers, NY",2014,15
E.N. Central,2014,2136
"Akron, OH",2014,60
"Canton, OH",2014,41
"Chicago, IL",2014,239
"Cincinnati, OH",2014,95
"Cleveland, OH",2014,278
"Columbus, OH",2014,282
"Dayton, OH",2014,163
"Detroit, MI",2014,49
"Evansville, IN",2014,57
"Fort Wayne, IN",2014,79
"Gary, IN",2014,14
"Grand Rapids, MI",2014,48
"Indianapolis, IN",2014,232
"Lansing, MI",2014,44
"Milwaukee, WI",2014,82
"Peoria, IL",2014,72
"Rockford, IL",2014,66
"South Bend, IN",2014,41
"Toledo, OH",2014,121
"Youngstown, OH",2014,73
W.N. Central,2014,669
"Des Moines, IA",2014,60
"Duluth, MN",2014,37
"Kansas City, KS",2014,40
"Kansas City, MO",2014,99
"Lincoln, NC",2014,56
"Minneapolis, MN",2014,61
"Omaha, NE",2014,89
"St. Louis, MO",2014,68
"St. Paul, MN",2014,49
"Wichita, KS",2014,110
S. Atlantic,2014,1053
"Atlanta, GA",2014,157
"Baltimore, MD",2014,
"Charlotte, NC",2014,163
"Jacksonville, FL",2014,157
"Miami, FL",2014,72
"Norfolk, VA",2014,58
"Richmond, VA",2014,63
"Savannah, GA",2014,70
"St. Petersburg, FL",2014,71
"Tampa, FL",2014,129
"Washington, D.C.",2014,98
"Wilmington, DE",2014,15
E.S. Central,2014,1159
"Birmingham, AL",2014,210
"Chattanooga, TN",2014,140
"Knoxville, TN",2014,163
"Lexington, KY",2014,77
"Memphis, TN",2014,235
"Mobile, AL",2014,114
"Montgomery, AL",2014,53
"Nashville, TN",2014,167
W.S. Central,2014,1601
"Austin, TX",2014,110
"Baton Rouge, LA",2014,83
"Corpus Christi, TX",2014,94
"Dallas, TX",2014,248
"El Paso, TX",2014,72
"Fort Worth, TX",2014,
"Houston, TX",2014,448
"Little Rock, AR",2014,105
"New Orleans, LA",2014,58
"San Antonio, TX",2014,254
"Shreveport, LA",2014,74
"Tulsa, OK",2014,55
Mountain,2014,1314
"Albuquerque, NM",2014,148
"Boise, ID",2014,70
"Colorado Springs, CO",2014,79
"Denver, CO",2014,106
"Las Vegas, NV",2014,331
"Ogden, UT",2014,35
"Phoenix, AZ",2014,188
"Pueblo, CO",2014,32
"Salt Lake City, UT",2014,122
"Tucson, AZ",2014,203
Pacific,2014,1933
"Berkeley, CA",2014,16
"Fresno, CA",2014,135
"Glendale, CA",2014,27
"Honolulu, HI",2014,101
"Long Beach, CA",2014,58
"Los Angeles, CA",2014,270
"Pasadena, CA",2014,17
"Portland, OR",2014,127
"Sacramento, CA",2014,280
"San Diego, CA",2014,191
"San Francisco, CA",2014,115
"San Jose, CA",2014,232
"Santa Cruz, CA",2014,45
"Seattle, WA",2014,149
"Spokane, WA",2014,54
"Tacoma, WA",2014,116
Totalå¦,2014,12509
New England,2014,571
"Boston, MA",2014,128
"Bridgeport, CT",2014,43
"Cambridge, MA",2014,13
"Fall River, MA",2014,18
"Hartford, CT",2014,60
"Lowell, MA",2014,23
"Lynn, MA",2014,16
"New Bedford, MA",2014,24
"New Haven, CT",2014,31
"Providence, RI",2014,64
"Somerville, MA",2014,2
"Springfield, MA",2014,44
"Waterbury, CT",2014,29
"Worcester, MA",2014,76
Mid. Atlantic,2014,1930
"Albany, NY",2014,60
"Allentown, PA",2014,53
"Buffalo, NY",2014,76
"Camden, NJ",2014,33
"Elizabeth, NJ",2014,19
"Erie, PA",2014,54
"Jersey City, NJ",2014,20
"New York City, NY",2014,1177
"Newark, NJ",2014,25
"Paterson, NJ",2014,17
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,31
"Reading, PA",2014,32
"Rochester, NY",2014,137
"Schenectady, NY",2014,20
"Scranton, PA",2014,28
"Syracuse, NY",2014,96
"Trenton, NJ",2014,19
"Utica, NY",2014,13
"Yonkers, NY",2014,20
E.N. Central,2014,1970
"Akron, OH",2014,46
"Canton, OH",2014,36
"Chicago, IL",2014,282
"Cincinnati, OH",2014,93
"Cleveland, OH",2014,280
"Columbus, OH",2014,157
"Dayton, OH",2014,122
"Detroit, MI",2014,103
"Evansville, IN",2014,51
"Fort Wayne, IN",2014,79
"Gary, IN",2014,8
"Grand Rapids, MI",2014,62
"Indianapolis, IN",2014,177
"Lansing, MI",2014,50
"Milwaukee, WI",2014,102
"Peoria, IL",2014,62
"Rockford, IL",2014,58
"South Bend, IN",2014,49
"Toledo, OH",2014,93
"Youngstown, OH",2014,60
W.N. Central,2014,712
"Des Moines, IA",2014,79
"Duluth, MN",2014,25
"Kansas City, KS",2014,28
"Kansas City, MO",2014,113
"Lincoln, NC",2014,41
"Minneapolis, MN",2014,69
"Omaha, NE",2014,96
"St. Louis, MO",2014,85
"St. Paul, MN",2014,80
"Wichita, KS",2014,96
S. Atlantic,2014,1012
"Atlanta, GA",2014,147
"Baltimore, MD",2014,
"Charlotte, NC",2014,171
"Jacksonville, FL",2014,138
"Miami, FL",2014,71
"Norfolk, VA",2014,43
"Richmond, VA",2014,58
"Savannah, GA",2014,95
"St. Petersburg, FL",2014,52
"Tampa, FL",2014,103
"Washington, D.C.",2014,116
"Wilmington, DE",2014,18
E.S. Central,2014,971
"Birmingham, AL",2014,193
"Chattanooga, TN",2014,99
"Knoxville, TN",2014,90
"Lexington, KY",2014,97
"Memphis, TN",2014,194
"Mobile, AL",2014,82
"Montgomery, AL",2014,54
"Nashville, TN",2014,162
W.S. Central,2014,1738
"Austin, TX",2014,106
"Baton Rouge, LA",2014,88
"Corpus Christi, TX",2014,75
"Dallas, TX",2014,209
"El Paso, TX",2014,131
"Fort Worth, TX",2014,
"Houston, TX",2014,482
"Little Rock, AR",2014,102
"New Orleans, LA",2014,55
"San Antonio, TX",2014,351
"Shreveport, LA",2014,89
"Tulsa, OK",2014,50
Mountain,2014,1338
"Albuquerque, NM",2014,172
"Boise, ID",2014,64
"Colorado Springs, CO",2014,94
"Denver, CO",2014,81
"Las Vegas, NV",2014,330
"Ogden, UT",2014,43
"Phoenix, AZ",2014,205
"Pueblo, CO",2014,37
"Salt Lake City, UT",2014,140
"Tucson, AZ",2014,172
Pacific,2014,1826
"Berkeley, CA",2014,11
"Fresno, CA",2014,137
"Glendale, CA",2014,38
"Honolulu, HI",2014,90
"Long Beach, CA",2014,48
"Los Angeles, CA",2014,249
"Pasadena, CA",2014,19
"Portland, OR",2014,150
"Sacramento, CA",2014,230
"San Diego, CA",2014,163
"San Francisco, CA",2014,120
"San Jose, CA",2014,217
"Santa Cruz, CA",2014,40
"Seattle, WA",2014,116
"Spokane, WA",2014,63
"Tacoma, WA",2014,135
Totalå¦,2014,12068
New England,2014,620
"Boston, MA",2014,191
"Bridgeport, CT",2014,40
"Cambridge, MA",2014,8
"Fall River, MA",2014,24
"Hartford, CT",2014,50
"Lowell, MA",2014,19
"Lynn, MA",2014,14
"New Bedford, MA",2014,33
"New Haven, CT",2014,32
"Providence, RI",2014,75
"Somerville, MA",2014,1
"Springfield, MA",2014,43
"Waterbury, CT",2014,24
"Worcester, MA",2014,66
Mid. Atlantic,2014,1605
"Albany, NY",2014,50
"Allentown, PA",2014,39
"Buffalo, NY",2014,99
"Camden, NJ",2014,30
"Elizabeth, NJ",2014,20
"Erie, PA",2014,52
"Jersey City, NJ",2014,18
"New York City, NY",2014,914
"Newark, NJ",2014,
"Paterson, NJ",2014,
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,49
"Reading, PA",2014,32
"Rochester, NY",2014,122
"Schenectady, NY",2014,20
"Scranton, PA",2014,42
"Syracuse, NY",2014,65
"Trenton, NJ",2014,22
"Utica, NY",2014,14
"Yonkers, NY",2014,17
E.N. Central,2014,2090
"Akron, OH",2014,48
"Canton, OH",2014,39
"Chicago, IL",2014,261
"Cincinnati, OH",2014,80
"Cleveland, OH",2014,245
"Columbus, OH",2014,295
"Dayton, OH",2014,161
"Detroit, MI",2014,91
"Evansville, IN",2014,54
"Fort Wayne, IN",2014,66
"Gary, IN",2014,10
"Grand Rapids, MI",2014,64
"Indianapolis, IN",2014,215
"Lansing, MI",2014,54
"Milwaukee, WI",2014,95
"Peoria, IL",2014,60
"Rockford, IL",2014,60
"South Bend, IN",2014,63
"Toledo, OH",2014,71
"Youngstown, OH",2014,58
W.N. Central,2014,685
"Des Moines, IA",2014,106
"Duluth, MN",2014,33
"Kansas City, KS",2014,43
"Kansas City, MO",2014,86
"Lincoln, NC",2014,44
"Minneapolis, MN",2014,76
"Omaha, NE",2014,103
"St. Louis, MO",2014,73
"St. Paul, MN",2014,36
"Wichita, KS",2014,85
S. Atlantic,2014,972
"Atlanta, GA",2014,117
"Baltimore, MD",2014,
"Charlotte, NC",2014,134
"Jacksonville, FL",2014,179
"Miami, FL",2014,72
"Norfolk, VA",2014,54
"Richmond, VA",2014,65
"Savannah, GA",2014,52
"St. Petersburg, FL",2014,66
"Tampa, FL",2014,115
"Washington, D.C.",2014,99
"Wilmington, DE",2014,19
E.S. Central,2014,1047
"Birmingham, AL",2014,181
"Chattanooga, TN",2014,123
"Knoxville, TN",2014,165
"Lexington, KY",2014,97
"Memphis, TN",2014,167
"Mobile, AL",2014,110
"Montgomery, AL",2014,36
"Nashville, TN",2014,168
W.S. Central,2014,1546
"Austin, TX",2014,103
"Baton Rouge, LA",2014,130
"Corpus Christi, TX",2014,40
"Dallas, TX",2014,210
"El Paso, TX",2014,118
"Fort Worth, TX",2014,
"Houston, TX",2014,345
"Little Rock, AR",2014,93
"New Orleans, LA",2014,74
"San Antonio, TX",2014,306
"Shreveport, LA",2014,72
"Tulsa, OK",2014,55
Mountain,2014,1238
"Albuquerque, NM",2014,149
"Boise, ID",2014,69
"Colorado Springs, CO",2014,81
"Denver, CO",2014,103
"Las Vegas, NV",2014,312
"Ogden, UT",2014,32
"Phoenix, AZ",2014,147
"Pueblo, CO",2014,29
"Salt Lake City, UT",2014,131
"Tucson, AZ",2014,185
Pacific,2014,1703
"Berkeley, CA",2014,13
"Fresno, CA",2014,133
"Glendale, CA",2014,30
"Honolulu, HI",2014,83
"Long Beach, CA",2014,76
"Los Angeles, CA",2014,224
"Pasadena, CA",2014,17
"Portland, OR",2014,132
"Sacramento, CA",2014,205
"San Diego, CA",2014,141
"San Francisco, CA",2014,110
"San Jose, CA",2014,192
"Santa Cruz, CA",2014,33
"Seattle, WA",2014,118
"Spokane, WA",2014,58
"Tacoma, WA",2014,138
Totalå¦,2014,11506
New England,2014,504
"Boston, MA",2014,147
"Bridgeport, CT",2014,42
"Cambridge, MA",2014,12
"Fall River, MA",2014,21
"Hartford, CT",2014,42
"Lowell, MA",2014,19
"Lynn, MA",2014,5
"New Bedford, MA",2014,30
"New Haven, CT",2014,41
"Providence, RI",2014,
"Somerville, MA",2014,6
"Springfield, MA",2014,37
"Waterbury, CT",2014,36
"Worcester, MA",2014,66
Mid. Atlantic,2014,1779
"Albany, NY",2014,46
"Allentown, PA",2014,35
"Buffalo, NY",2014,105
"Camden, NJ",2014,13
"Elizabeth, NJ",2014,19
"Erie, PA",2014,61
"Jersey City, NJ",2014,16
"New York City, NY",2014,1047
"Newark, NJ",2014,30
"Paterson, NJ",2014,25
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,41
"Reading, PA",2014,27
"Rochester, NY",2014,163
"Schenectady, NY",2014,28
"Scranton, PA",2014,28
"Syracuse, NY",2014,50
"Trenton, NJ",2014,22
"Utica, NY",2014,9
"Yonkers, NY",2014,14
E.N. Central,2014,2188
"Akron, OH",2014,53
"Canton, OH",2014,37
"Chicago, IL",2014,273
"Cincinnati, OH",2014,88
"Cleveland, OH",2014,293
"Columbus, OH",2014,265
"Dayton, OH",2014,129
"Detroit, MI",2014,152
"Evansville, IN",2014,68
"Fort Wayne, IN",2014,90
"Gary, IN",2014,15
"Grand Rapids, MI",2014,47
"Indianapolis, IN",2014,186
"Lansing, MI",2014,49
"Milwaukee, WI",2014,48
"Peoria, IL",2014,81
"Rockford, IL",2014,66
"South Bend, IN",2014,55
"Toledo, OH",2014,128
"Youngstown, OH",2014,65
W.N. Central,2014,722
"Des Moines, IA",2014,75
"Duluth, MN",2014,35
"Kansas City, KS",2014,32
"Kansas City, MO",2014,122
"Lincoln, NC",2014,43
"Minneapolis, MN",2014,56
"Omaha, NE",2014,104
"St. Louis, MO",2014,122
"St. Paul, MN",2014,48
"Wichita, KS",2014,85
S. Atlantic,2014,1146
"Atlanta, GA",2014,156
"Baltimore, MD",2014,130
"Charlotte, NC",2014,141
"Jacksonville, FL",2014,141
"Miami, FL",2014,69
"Norfolk, VA",2014,37
"Richmond, VA",2014,62
"Savannah, GA",2014,67
"St. Petersburg, FL",2014,62
"Tampa, FL",2014,108
"Washington, D.C.",2014,164
"Wilmington, DE",2014,9
E.S. Central,2014,1043
"Birmingham, AL",2014,211
"Chattanooga, TN",2014,75
"Knoxville, TN",2014,140
"Lexington, KY",2014,99
"Memphis, TN",2014,207
"Mobile, AL",2014,92
"Montgomery, AL",2014,50
"Nashville, TN",2014,169
W.S. Central,2014,1570
"Austin, TX",2014,93
"Baton Rouge, LA",2014,100
"Corpus Christi, TX",2014,51
"Dallas, TX",2014,255
"El Paso, TX",2014,146
"Fort Worth, TX",2014,
"Houston, TX",2014,345
"Little Rock, AR",2014,74
"New Orleans, LA",2014,93
"San Antonio, TX",2014,307
"Shreveport, LA",2014,51
"Tulsa, OK",2014,55
Mountain,2014,1185
"Albuquerque, NM",2014,134
"Boise, ID",2014,56
"Colorado Springs, CO",2014,75
"Denver, CO",2014,90
"Las Vegas, NV",2014,316
"Ogden, UT",2014,41
"Phoenix, AZ",2014,161
"Pueblo, CO",2014,41
"Salt Lake City, UT",2014,114
"Tucson, AZ",2014,157
Pacific,2014,1907
"Berkeley, CA",2014,21
"Fresno, CA",2014,125
"Glendale, CA",2014,38
"Honolulu, HI",2014,108
"Long Beach, CA",2014,75
"Los Angeles, CA",2014,257
"Pasadena, CA",2014,27
"Portland, OR",2014,147
"Sacramento, CA",2014,214
"San Diego, CA",2014,174
"San Francisco, CA",2014,130
"San Jose, CA",2014,219
"Santa Cruz, CA",2014,37
"Seattle, WA",2014,127
"Spokane, WA",2014,69
"Tacoma, WA",2014,139
Totalå¦,2014,12044
New England,2014,577
"Boston, MA",2014,134
"Bridgeport, CT",2014,26
"Cambridge, MA",2014,18
"Fall River, MA",2014,23
"Hartford, CT",2014,69
"Lowell, MA",2014,24
"Lynn, MA",2014,6
"New Bedford, MA",2014,24
"New Haven, CT",2014,40
"Providence, RI",2014,64
"Somerville, MA",2014,1
"Springfield, MA",2014,43
"Waterbury, CT",2014,21
"Worcester, MA",2014,84
Mid. Atlantic,2014,1777
"Albany, NY",2014,49
"Allentown, PA",2014,19
"Buffalo, NY",2014,83
"Camden, NJ",2014,
"Elizabeth, NJ",2014,22
"Erie, PA",2014,52
"Jersey City, NJ",2014,18
"New York City, NY",2014,1091
"Newark, NJ",2014,32
"Paterson, NJ",2014,14
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,40
"Reading, PA",2014,32
"Rochester, NY",2014,147
"Schenectady, NY",2014,19
"Scranton, PA",2014,29
"Syracuse, NY",2014,102
"Trenton, NJ",2014,
"Utica, NY",2014,7
"Yonkers, NY",2014,21
E.N. Central,2014,2039
"Akron, OH",2014,45
"Canton, OH",2014,33
"Chicago, IL",2014,269
"Cincinnati, OH",2014,80
"Cleveland, OH",2014,272
"Columbus, OH",2014,240
"Dayton, OH",2014,145
"Detroit, MI",2014,144
"Evansville, IN",2014,32
"Fort Wayne, IN",2014,56
"Gary, IN",2014,9
"Grand Rapids, MI",2014,66
"Indianapolis, IN",2014,189
"Lansing, MI",2014,71
"Milwaukee, WI",2014,70
"Peoria, IL",2014,43
"Rockford, IL",2014,48
"South Bend, IN",2014,62
"Toledo, OH",2014,97
"Youngstown, OH",2014,68
W.N. Central,2014,788
"Des Moines, IA",2014,76
"Duluth, MN",2014,37
"Kansas City, KS",2014,24
"Kansas City, MO",2014,129
"Lincoln, NC",2014,65
"Minneapolis, MN",2014,74
"Omaha, NE",2014,113
"St. Louis, MO",2014,104
"St. Paul, MN",2014,56
"Wichita, KS",2014,110
S. Atlantic,2014,1156
"Atlanta, GA",2014,143
"Baltimore, MD",2014,171
"Charlotte, NC",2014,183
"Jacksonville, FL",2014,139
"Miami, FL",2014,70
"Norfolk, VA",2014,70
"Richmond, VA",2014,64
"Savannah, GA",2014,52
"St. Petersburg, FL",2014,59
"Tampa, FL",2014,102
"Washington, D.C.",2014,84
"Wilmington, DE",2014,19
E.S. Central,2014,970
"Birmingham, AL",2014,190
"Chattanooga, TN",2014,83
"Knoxville, TN",2014,107
"Lexington, KY",2014,75
"Memphis, TN",2014,191
"Mobile, AL",2014,119
"Montgomery, AL",2014,49
"Nashville, TN",2014,156
W.S. Central,2014,1815
"Austin, TX",2014,105
"Baton Rouge, LA",2014,99
"Corpus Christi, TX",2014,92
"Dallas, TX",2014,206
"El Paso, TX",2014,113
"Fort Worth, TX",2014,
"Houston, TX",2014,612
"Little Rock, AR",2014,69
"New Orleans, LA",2014,62
"San Antonio, TX",2014,327
"Shreveport, LA",2014,79
"Tulsa, OK",2014,51
Mountain,2014,1311
"Albuquerque, NM",2014,161
"Boise, ID",2014,61
"Colorado Springs, CO",2014,75
"Denver, CO",2014,120
"Las Vegas, NV",2014,320
"Ogden, UT",2014,25
"Phoenix, AZ",2014,199
"Pueblo, CO",2014,39
"Salt Lake City, UT",2014,141
"Tucson, AZ",2014,170
Pacific,2014,1766
"Berkeley, CA",2014,11
"Fresno, CA",2014,143
"Glendale, CA",2014,37
"Honolulu, HI",2014,81
"Long Beach, CA",2014,50
"Los Angeles, CA",2014,262
"Pasadena, CA",2014,30
"Portland, OR",2014,123
"Sacramento, CA",2014,243
"San Diego, CA",2014,164
"San Francisco, CA",2014,108
"San Jose, CA",2014,198
"Santa Cruz, CA",2014,26
"Seattle, WA",2014,110
"Spokane, WA",2014,58
"Tacoma, WA",2014,122
Totalå¦,2014,12199
New England,2014,608
"Boston, MA",2014,143
"Bridgeport, CT",2014,41
"Cambridge, MA",2014,20
"Fall River, MA",2014,19
"Hartford, CT",2014,63
"Lowell, MA",2014,19
"Lynn, MA",2014,6
"New Bedford, MA",2014,30
"New Haven, CT",2014,39
"Providence, RI",2014,65
"Somerville, MA",2014,7
"Springfield, MA",2014,50
"Waterbury, CT",2014,30
"Worcester, MA",2014,76
Mid. Atlantic,2014,1843
"Albany, NY",2014,41
"Allentown, PA",2014,28
"Buffalo, NY",2014,93
"Camden, NJ",2014,29
"Elizabeth, NJ",2014,11
"Erie, PA",2014,45
"Jersey City, NJ",2014,20
"New York City, NY",2014,1109
"Newark, NJ",2014,39
"Paterson, NJ",2014,19
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,40
"Reading, PA",2014,31
"Rochester, NY",2014,158
"Schenectady, NY",2014,19
"Scranton, PA",2014,33
"Syracuse, NY",2014,67
"Trenton, NJ",2014,25
"Utica, NY",2014,16
"Yonkers, NY",2014,20
E.N. Central,2014,1986
"Akron, OH",2014,52
"Canton, OH",2014,39
"Chicago, IL",2014,261
"Cincinnati, OH",2014,78
"Cleveland, OH",2014,265
"Columbus, OH",2014,208
"Dayton, OH",2014,117
"Detroit, MI",2014,116
"Evansville, IN",2014,59
"Fort Wayne, IN",2014,89
"Gary, IN",2014,21
"Grand Rapids, MI",2014,64
"Indianapolis, IN",2014,210
"Lansing, MI",2014,48
"Milwaukee, WI",2014,85
"Peoria, IL",2014,45
"Rockford, IL",2014,53
"South Bend, IN",2014,52
"Toledo, OH",2014,124
"Youngstown, OH",2014,
W.N. Central,2014,682
"Des Moines, IA",2014,83
"Duluth, MN",2014,27
"Kansas City, KS",2014,32
"Kansas City, MO",2014,98
"Lincoln, NC",2014,36
"Minneapolis, MN",2014,69
"Omaha, NE",2014,119
"St. Louis, MO",2014,64
"St. Paul, MN",2014,65
"Wichita, KS",2014,89
S. Atlantic,2014,1165
"Atlanta, GA",2014,121
"Baltimore, MD",2014,135
"Charlotte, NC",2014,138
"Jacksonville, FL",2014,162
"Miami, FL",2014,78
"Norfolk, VA",2014,74
"Richmond, VA",2014,60
"Savannah, GA",2014,75
"St. Petersburg, FL",2014,62
"Tampa, FL",2014,106
"Washington, D.C.",2014,150
"Wilmington, DE",2014,4
E.S. Central,2014,933
"Birmingham, AL",2014,171
"Chattanooga, TN",2014,101
"Knoxville, TN",2014,95
"Lexington, KY",2014,79
"Memphis, TN",2014,183
"Mobile, AL",2014,99
"Montgomery, AL",2014,70
"Nashville, TN",2014,135
W.S. Central,2014,1489
"Austin, TX",2014,116
"Baton Rouge, LA",2014,82
"Corpus Christi, TX",2014,76
"Dallas, TX",2014,221
"El Paso, TX",2014,115
"Fort Worth, TX",2014,
"Houston, TX",2014,365
"Little Rock, AR",2014,103
"New Orleans, LA",2014,43
"San Antonio, TX",2014,260
"Shreveport, LA",2014,53
"Tulsa, OK",2014,55
Mountain,2014,1218
"Albuquerque, NM",2014,129
"Boise, ID",2014,76
"Colorado Springs, CO",2014,75
"Denver, CO",2014,65
"Las Vegas, NV",2014,307
"Ogden, UT",2014,29
"Phoenix, AZ",2014,174
"Pueblo, CO",2014,40
"Salt Lake City, UT",2014,139
"Tucson, AZ",2014,184
Pacific,2014,1765
"Berkeley, CA",2014,19
"Fresno, CA",2014,128
"Glendale, CA",2014,46
"Honolulu, HI",2014,87
"Long Beach, CA",2014,58
"Los Angeles, CA",2014,249
"Pasadena, CA",2014,22
"Portland, OR",2014,121
"Sacramento, CA",2014,240
"San Diego, CA",2014,158
"San Francisco, CA",2014,108
"San Jose, CA",2014,180
"Santa Cruz, CA",2014,41
"Seattle, WA",2014,106
"Spokane, WA",2014,71
"Tacoma, WA",2014,131
Totalå¦,2014,11689
New England,2014,573
"Boston, MA",2014,141
"Bridgeport, CT",2014,21
"Cambridge, MA",2014,11
"Fall River, MA",2014,26
"Hartford, CT",2014,50
"Lowell, MA",2014,25
"Lynn, MA",2014,11
"New Bedford, MA",2014,19
"New Haven, CT",2014,38
"Providence, RI",2014,60
"Somerville, MA",2014,4
"Springfield, MA",2014,46
"Waterbury, CT",2014,49
"Worcester, MA",2014,72
Mid. Atlantic,2014,1914
"Albany, NY",2014,43
"Allentown, PA",2014,42
"Buffalo, NY",2014,102
"Camden, NJ",2014,22
"Elizabeth, NJ",2014,20
"Erie, PA",2014,64
"Jersey City, NJ",2014,
"New York City, NY",2014,1118
"Newark, NJ",2014,26
"Paterson, NJ",2014,31
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,53
"Reading, PA",2014,35
"Rochester, NY",2014,141
"Schenectady, NY",2014,19
"Scranton, PA",2014,24
"Syracuse, NY",2014,120
"Trenton, NJ",2014,18
"Utica, NY",2014,16
"Yonkers, NY",2014,20
E.N. Central,2014,2182
"Akron, OH",2014,49
"Canton, OH",2014,37
"Chicago, IL",2014,325
"Cincinnati, OH",2014,86
"Cleveland, OH",2014,271
"Columbus, OH",2014,223
"Dayton, OH",2014,146
"Detroit, MI",2014,147
"Evansville, IN",2014,46
"Fort Wayne, IN",2014,77
"Gary, IN",2014,11
"Grand Rapids, MI",2014,58
"Indianapolis, IN",2014,211
"Lansing, MI",2014,56
"Milwaukee, WI",2014,96
"Peoria, IL",2014,53
"Rockford, IL",2014,44
"South Bend, IN",2014,53
"Toledo, OH",2014,111
"Youngstown, OH",2014,82
W.N. Central,2014,742
"Des Moines, IA",2014,78
"Duluth, MN",2014,25
"Kansas City, KS",2014,35
"Kansas City, MO",2014,120
"Lincoln, NC",2014,66
"Minneapolis, MN",2014,77
"Omaha, NE",2014,106
"St. Louis, MO",2014,102
"St. Paul, MN",2014,52
"Wichita, KS",2014,81
S. Atlantic,2014,1143
"Atlanta, GA",2014,121
"Baltimore, MD",2014,167
"Charlotte, NC",2014,152
"Jacksonville, FL",2014,166
"Miami, FL",2014,66
"Norfolk, VA",2014,37
"Richmond, VA",2014,69
"Savannah, GA",2014,64
"St. Petersburg, FL",2014,72
"Tampa, FL",2014,142
"Washington, D.C.",2014,73
"Wilmington, DE",2014,14
