Area,Year,Deaths
"Montgomery, AL",2014,82
"Nashville, TN",2014,192
W.S. Central,2014,2055
"Austin, TX",2014,138
"Baton Rouge, LA",2014,157
"Corpus Christi, TX",2014,78
"Dallas, TX",2014,303
"El Paso, TX",2014,138
"Fort Worth, TX",2014,
"Houston, TX",2014,556
"Little Rock, AR",2014,102
"New Orleans, LA",2014,95
"San Antonio, TX",2014,327
"Shreveport, LA",2014,103
"Tulsa, OK",2014,58
Mountain,2014,1210
"Albuquerque, NM",2014,143
"Boise, ID",2014,74
"Colorado Springs, CO",2014,112
"Denver, CO",2014,97
"Las Vegas, NV",2014,346
"Ogden, UT",2014,39
"Phoenix, AZ",2014,
"Pueblo, CO",2014,41
"Salt Lake City, UT",2014,178
"Tucson, AZ",2014,180
Pacific,2014,2159
"Berkeley, CA",2014,15
"Fresno, CA",2014,176
"Glendale, CA",2014,47
"Honolulu, HI",2014,94
"Long Beach, CA",2014,81
"Los Angeles, CA",2014,289
"Pasadena, CA",2014,31
"Portland, OR",2014,144
"Sacramento, CA",2014,284
"San Diego, CA",2014,188
"San Francisco, CA",2014,139
"San Jose, CA",2014,277
"Santa Cruz, CA",2014,31
"Seattle, WA",2014,156
"Spokane, WA",2014,70
"Tacoma, WA",2014,137
Totalå¦,2014,13005
New England,2014,628
"Boston, MA",2014,168
"Bridgeport, CT",2014,46
"Cambridge, MA",2014,23
"Fall River, MA",2014,23
"Hartford, CT",2014,59
"Lowell, MA",2014,31
"Lynn, MA",2014,11
"New Bedford, MA",2014,27
"New Haven, CT",2014,49
"Providence, RI",2014,76
"Somerville, MA",2014,5
"Springfield, MA",2014,26
"Waterbury, CT",2014,30
"Worcester, MA",2014,54
Mid. Atlantic,2014,2238
"Albany, NY",2014,57
"Allentown, PA",2014,26
"Buffalo, NY",2014,96
"Camden, NJ",2014,
"Elizabeth, NJ",2014,28
"Erie, PA",2014,53
"Jersey City, NJ",2014,26
"New York City, NY",2014,1485
"Newark, NJ",2014,32
"Paterson, NJ",2014,
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,50
"Reading, PA",2014,35
"Rochester, NY",2014,172
"Schenectady, NY",2014,29
"Scranton, PA",2014,31
"Syracuse, NY",2014,75
"Trenton, NJ",2014,
"Utica, NY",2014,20
"Yonkers, NY",2014,23
E.N. Central,2014,2559
"Akron, OH",2014,55
"Canton, OH",2014,51
"Chicago, IL",2014,321
"Cincinnati, OH",2014,110
"Cleveland, OH",2014,378
"Columbus, OH",2014,327
"Dayton, OH",2014,159
"Detroit, MI",2014,
"Evansville, IN",2014,57
"Fort Wayne, IN",2014,98
"Gary, IN",2014,17
"Grand Rapids, MI",2014,75
"Indianapolis, IN",2014,302
"Lansing, MI",2014,67
"Milwaukee, WI",2014,97
"Peoria, IL",2014,62
"Rockford, IL",2014,65
"South Bend, IN",2014,73
"Toledo, OH",2014,166
"Youngstown, OH",2014,79
W.N. Central,2014,843
"Des Moines, IA",2014,77
"Duluth, MN",2014,35
"Kansas City, KS",2014,41
"Kansas City, MO",2014,125
"Lincoln, NC",2014,51
"Minneapolis, MN",2014,84
"Omaha, NE",2014,118
"St. Louis, MO",2014,134
"St. Paul, MN",2014,66
"Wichita, KS",2014,112
S. Atlantic,2014,1211
"Atlanta, GA",2014,230
"Baltimore, MD",2014,160
"Charlotte, NC",2014,161
"Jacksonville, FL",2014,220
"Miami, FL",2014,49
"Norfolk, VA",2014,50
"Richmond, VA",2014,56
"Savannah, GA",2014,92
"St. Petersburg, FL",2014,57
"Tampa, FL",2014,118
"Washington, D.C.",2014,
"Wilmington, DE",2014,18
E.S. Central,2014,1148
"Birmingham, AL",2014,170
"Chattanooga, TN",2014,143
"Knoxville, TN",2014,139
"Lexington, KY",2014,86
"Memphis, TN",2014,217
"Mobile, AL",2014,120
"Montgomery, AL",2014,74
"Nashville, TN",2014,199
W.S. Central,2014,1848
"Austin, TX",2014,129
"Baton Rouge, LA",2014,114
"Corpus Christi, TX",2014,100
"Dallas, TX",2014,247
"El Paso, TX",2014,170
"Fort Worth, TX",2014,
"Houston, TX",2014,471
"Little Rock, AR",2014,
"New Orleans, LA",2014,80
"San Antonio, TX",2014,361
"Shreveport, LA",2014,106
"Tulsa, OK",2014,70
Mountain,2014,1156
"Albuquerque, NM",2014,198
"Boise, ID",2014,54
"Colorado Springs, CO",2014,96
"Denver, CO",2014,140
"Las Vegas, NV",2014,278
"Ogden, UT",2014,34
"Phoenix, AZ",2014,
"Pueblo, CO",2014,35
"Salt Lake City, UT",2014,128
"Tucson, AZ",2014,193
Pacific,2014,2051
"Berkeley, CA",2014,17
"Fresno, CA",2014,171
"Glendale, CA",2014,38
"Honolulu, HI",2014,75
"Long Beach, CA",2014,75
"Los Angeles, CA",2014,278
"Pasadena, CA",2014,27
"Portland, OR",2014,146
"Sacramento, CA",2014,285
"San Diego, CA",2014,178
"San Francisco, CA",2014,121
"San Jose, CA",2014,274
"Santa Cruz, CA",2014,42
"Seattle, WA",2014,116
"Spokane, WA",2014,75
"Tacoma, WA",2014,133
Totalå¦,2014,13682
New England,2014,529
"Boston, MA",2014,157
"Bridgeport, CT",2014,30
"Cambridge, MA",2014,14
"Fall River, MA",2014,17
"Hartford, CT",2014,35
"Lowell, MA",2014,25
"Lynn, MA",2014,9
"New Bedford, MA",2014,33
"New Haven, CT",2014,33
"Providence, RI",2014,45
"Somerville, MA",2014,2
"Springfield, MA",2014,44
"Waterbury, CT",2014,21
"Worcester, MA",2014,64
Mid. Atlantic,2014,1802
"Albany, NY",2014,39
"Allentown, PA",2014,37
"Buffalo, NY",2014,96
"Camden, NJ",2014,27
"Elizabeth, NJ",2014,23
"Erie, PA",2014,57
"Jersey City, NJ",2014,20
"New York City, NY",2014,1029
"Newark, NJ",2014,33
"Paterson, NJ",2014,12
"Philadelphia, PA",2014,
"Pittsburgh, PAå¤",2014,40
"Reading, PA",2014,30
"Rochester, NY",2014,185
"Schenectady, NY",2014,33
"Scranton, PA",2014,23
"Syracuse, NY",2014,72
"Trenton, NJ",2014,13
"Utica, NY",2014,19
"Yonkers, NY",2014,14
E.N. Central,2014,2084
"Akron, OH",2014,67
"Canton, OH",2014,36
"Chicago, IL",2014,303
"Cincinnati, OH",2014,93
"Cleveland, OH",2014,261
"Columbus, OH",2014,159
"Dayton, OH",2014,145
"Detroit, MI",2014,
"Evansville, IN",2014,51
"Fort Wayne, IN",2014,95
"Gary, IN",2014,14
"Grand Rapids, MI",2014,69
"Indianapolis, IN",2014,257
"Lansing, MI",2014,52
"Milwaukee, WI",2014,87
"Peoria, IL",2014,72
"Rockford, IL",2014,58
"South Bend, IN",2014,66
"Toledo, OH",2014,138
"Youngstown, OH",2014,61
W.N. Central,2014,793
"Des Moines, IA",2014,102
"Duluth, MN",2014,33
"Kansas City, KS",2014,46
"Kansas City, MO",2014,102
"Lincoln, NC",2014,55
"Minneapolis, MN",2014,79
"Omaha, NE",2014,88
"St. Louis, MO",2014,91
"St. Paul, MN",2014,64
"Wichita, KS",2014,133
S. Atlantic,2014,987
"Atlanta, GA",2014,
"Baltimore, MD",2014,205
"Charlotte, NC",2014,133
"Jacksonville, FL",2014,188
"Miami, FL",2014,68
"Norfolk, VA",2014,
"Richmond, VA",2014,81
"Savannah, GA",2014,52
"St. Petersburg, FL",2014,59
"Tampa, FL",2014,130
"Washington, D.C.",2014,60
"Wilmington, DE",2014,11
E.S. Central,2014,1043
"Birmingham, AL",2014,194
"Chattanooga, TN",2014,110
"Knoxville, TN",2014,112
"Lexington, KY",2014,68
"Memphis, TN",2014,207
"Mobile, AL",2014,120
"Montgomery, AL",2014,47
"Nashville, TN",2014,185
W.S. Central,2014,1215
"Austin, TX",2014,77
"Baton Rouge, LA",2014,
"Corpus Christi, TX",2014,69
"Dallas, TX",2014,250
